"id","main_expenditure_groups_ar","main_expenditure_groups_en","weight","year","month_ar","month_en","price_index"
"669","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2019","إبريل","April","113.29"
"670"," مجموعة الصحة","Health group","0.85","2019","إبريل","April","102.43"
"671"," مجموعة النقل","Transport group","10.62","2019","إبريل","April","111.24"
"672"," مجموعة الاتصالات","Communication group","5.22","2019","إبريل","April","105.74"
"673"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2019","إبريل","April","95.28"
"674"," مجموعة التعليم","Education group","8.48","2019","إبريل","April","118.19"
"675"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2019","إبريل","April","120.41"
"676"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2019","إبريل","April","115.08"
"651","الرقم القياسي لأسعار المستهلك ","General index number","100.00","2019","مارس","March","107.02"
"652"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2019","مارس","March","105.17"
"653"," مجموعة التبغ","Tobacco group","0.35","2019","مارس","March","177.23"
"654"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2019","مارس","March","103.78"
"655","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2019","مارس","March","103.73"
"656","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2019","مارس","March","113.28"
"657"," مجموعة الصحة","Health group","0.85","2019","مارس","March","102.51"
"658"," مجموعة النقل","Transport group","10.62","2019","مارس","March","105.72"
"659"," مجموعة الاتصالات","Communication group","5.22","2019","مارس","March","105.35"
"660"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2019","مارس","March","89.67"
"661"," مجموعة التعليم","Education group","8.48","2019","مارس","March","118.19"
"662"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2019","مارس","March","120.45"
"663"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2019","مارس","March","114.94"
"31","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2015","مارس","March","104.21"
"231"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2016","يونيو","June","101.23"
"431"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2017","أكتوبر","October","104.57"
"631"," مجموعة الصحة","Health group","0.85","2019","يناير","January","102.51"
"32","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2015","مارس","March","100.83"
"232"," مجموعة التعليم","Education group","8.48","2016","يونيو","June","108.81"
"432"," مجموعة التبغ","Tobacco group","0.35","2017","أكتوبر","October","157.77"
"632"," مجموعة النقل","Transport group","10.62","2019","يناير","January","105.28"
"33"," مجموعة الصحة","Health group","0.85","2015","مارس","March","101.30"
"233"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2016","يونيو","June","103.55"
"433"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2017","أكتوبر","October","110.96"
"633"," مجموعة الاتصالات","Communication group","5.22","2019","يناير","January","105.34"
"34"," مجموعة النقل","Transport group","10.62","2015","مارس","March","97.74"
"234"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2016","يونيو","June","104.89"
"434","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2017","أكتوبر","October","111.53"
"634"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2019","يناير","January","92.85"
"35"," مجموعة الاتصالات","Communication group","5.22","2015","مارس","March","100.89"
"235","الرقم القياسي لأسعار المستهلك ","General index number","100.00","2016","يوليو","July","107.35"
"435","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2017","أكتوبر","October","109.18"
"635"," مجموعة التعليم","Education group","8.48","2019","يناير","January","118.19"
"36"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2015","مارس","March","99.46"
"236"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2016","يوليو","July","102.62"
"436"," مجموعة الصحة","Health group","0.85","2017","أكتوبر","October","102.57"
"636"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2019","يناير","January","120.60"
"37"," مجموعة التعليم","Education group","8.48","2015","مارس","March","101.35"
"237"," مجموعة التبغ","Tobacco group","0.35","2016","يوليو","July","104.42"
"437"," مجموعة النقل","Transport group","10.62","2017","أكتوبر","October","105.41"
"637"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2019","يناير","January","114.60"
"38"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2015","مارس","March","101.69"
